Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
82,651786,I -4,Zr3 Sb,Zr3,Zr,3,4,5,Sb,Sb,1,15,5,Tetragonal,
82,81539,I -4,Zr3 Te,Zr3,Zr,3,4,5,Te,Te,1,16,5,Tetragonal,
91,153253,P 41 2 2,Si64 O128,Si64,Si,64,14,3,O128,O,128,16,2,Tetragonal,
92,165,P 41 21 2,Mn5 Si2,Mn5,Mn,5,7,4,Si2,Si,2,14,3,Tetragonal,
92,1079,P 41 21 2,Mg As4,Mg,Mg,1,2,3,As4,As,4,15,4,Tetragonal,
92,1287,P 41 21 2,Ni2 Y3,Ni2,Ni,2,10,4,Y3,Y,3,3,5,Tetragonal,
92,10015,P 41 21 2,As2 O5,As2,As,2,15,4,O5,O,5,16,2,Tetragonal,
92,14195,P 41 21 2,Sn F2,Sn,Sn,1,14,5,F2,F,2,17,2,Tetragonal,
92,9327,P 41 21 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,
92,16817,P 41 21 2,H2 O,H2,H,2,1,1,O,O,1,16,2,Tetragonal,
92,20357,P 41 21 2,Zr5 Si4,Zr5,Zr,5,4,5,Si4,Si,4,14,3,Tetragonal,
92,23783,P 41 21 2,Ge O2,Ge,Ge,1,14,4,O2,O,2,16,2,Tetragonal,
92,27515,P 41 21 2,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Tetragonal,
92,28067,P 41 21 2,D2 O2,D2,D,2,1,1,O2,O,2,16,2,Tetragonal,
92,23704,P 41 21 2,D2 O,D2,D,2,1,1,O,O,1,16,2,Tetragonal,
92,30602,P 41 21 2,H O2 H,H,H,1,1,1,O2,O,2,16,2,Tetragonal,
92,34253,P 41 21 2,H2 O2,H2,H,2,1,1,O2,O,2,16,2,Tetragonal,
92,35331,P 41 21 2,Al B12,Al,Al,1,13,3,B12,B,12,13,2,Tetragonal,
92,34853,P 41 21 2,Ni11 As8,Ni11,Ni,11,10,4,As8,As,8,15,4,Tetragonal,
92,60761,P 41 21 2,Pt3 I8,Pt3,Pt,3,10,6,I8,I,8,17,5,Tetragonal,
92,40428,P 41 21 2,Zn P4,Zn,Zn,1,12,4,P4,P,4,15,3,Tetragonal,
92,78162,P 41 21 2,Tl2 S2,Tl2,Tl,2,13,6,S2,S,2,16,3,Tetragonal,
92,70048,P 41 21 2,Fe21.34 O32,Fe21.34,Fe,21.34,8,4,O32,O,32,16,2,Tetragonal,
92,410107,P 41 21 2,Br7 In5,Br7,Br,7,17,4,In5,In,5,13,5,Tetragonal,
92,43080,P 41 21 2,Ti5 Si4,Ti5,Ti,5,4,4,Si4,Si,4,14,3,Tetragonal,
92,53043,P 41 21 2,Hf5 Si4,Hf5,Hf,5,4,6,Si4,Si,4,14,3,Tetragonal,
92,94986,P 41 21 2,La5 Si4,La5,La,5,3,6,Si4,Si,4,14,3,Tetragonal,
92,94987,P 41 21 2,Nd5 Si4,Nd5,Nd,5,3,6,Si4,Si,4,14,3,Tetragonal,
92,95099,P 41 21 2,Pr5 Si4,Pr5,Pr,5,3,6,Si4,Si,4,14,3,Tetragonal,
92,18137,P 41 21 2,Zn P2,Zn,Zn,1,12,4,P2,P,2,15,3,Tetragonal,
92,98406,P 41 21 2,C O2,C,C,1,14,2,O2,O,2,16,2,Tetragonal,
92,614665,P 41 21 2,Li B11,Li,Li,1,1,2,B11,B,11,13,2,Tetragonal,
92,620210,P 41 21 2,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Tetragonal,
92,622142,P 41 21 2,Ce5 Si4,Ce5,Ce,5,3,6,Si4,Si,4,14,3,Tetragonal,
92,638154,P 41 21 2,Zr5 Ge4,Zr5,Zr,5,4,5,Ge4,Ge,4,14,4,Tetragonal,
92,172906,P 41 21 2,Fe2 O3,Fe2,Fe,2,8,4,O3,O,3,16,2,Tetragonal,
92,174241,P 41 21 2,Mg4.8 B44,Mg4.8,Mg,4.8,2,3,B44,B,44,13,2,Tetragonal,
